sample_id,task_instruction,task_instance,response,split_name
0,"Given the visuals, discern the timing of the event in the query. You must choose your answer from the Choice List.","{'context': ""{image#1}{image#2}{image#3}{image#4}{image#5}{image#6}{image#7}{image#8}{image#9}{image#10}{image#11}{image#12}{image#13}{image#14}{image#15}{image#16}{image#17}{image#18}{image#19}{image#20}{image#21}{image#22}{image#23}{image#24}{image#25}{image#26}{image#27}{image#28}{image#29}{image#30}During which part of the video does the action 'person sitting on a couch' occur?"", 'images_path': array(['RPY8D/RPY8D_0.jpeg', 'RPY8D/RPY8D_1.jpeg', 'RPY8D/RPY8D_2.jpeg',
       'RPY8D/RPY8D_3.jpeg', 'RPY8D/RPY8D_4.jpeg', 'RPY8D/RPY8D_5.jpeg',
       'RPY8D/RPY8D_6.jpeg', 'RPY8D/RPY8D_7.jpeg', 'RPY8D/RPY8D_8.jpeg',
       'RPY8D/RPY8D_9.jpeg', 'RPY8D/RPY8D_10.jpeg', 'RPY8D/RPY8D_11.jpeg',
       'RPY8D/RPY8D_12.jpeg', 'RPY8D/RPY8D_13.jpeg',
       'RPY8D/RPY8D_14.jpeg', 'RPY8D/RPY8D_15.jpeg',
       'RPY8D/RPY8D_16.jpeg', 'RPY8D/RPY8D_17.jpeg',
       'RPY8D/RPY8D_18.jpeg', 'RPY8D/RPY8D_19.jpeg',
       'RPY8D/RPY8D_20.jpeg', 'RPY8D/RPY8D_21.jpeg',
       'RPY8D/RPY8D_22.jpeg', 'RPY8D/RPY8D_23.jpeg',
       'RPY8D/RPY8D_24.jpeg', 'RPY8D/RPY8D_25.jpeg',
       'RPY8D/RPY8D_26.jpeg', 'RPY8D/RPY8D_27.jpeg',
       'RPY8D/RPY8D_28.jpeg', 'RPY8D/RPY8D_29.jpeg'], dtype=object), 'choice_list': array(['In the middle of the video.', 'At the end of the video.',
       'Throughout the entire video.', 'At the beginning of the video.'],
      dtype=object), 'combined_1_images': array(['0-0.jpg'], dtype=object)}",Throughout the entire video.,ActionLocalization_test
1,Observe the given images and deduce when the action in the query takes place. You must choose your answer from the Choice List.,"{'context': ""{image#1}{image#2}{image#3}{image#4}{image#5}{image#6}{image#7}{image#8}{image#9}{image#10}{image#11}{image#12}{image#13}{image#14}{image#15}{image#16}{image#17}{image#18}{image#19}{image#20}{image#21}{image#22}{image#23}{image#24}{image#25}{image#26}{image#27}{image#28}{image#29}{image#30}{image#31}Can you identify when the action 'person still smiling' happens in the video?"", 'images_path': array(['TS2DM/TS2DM_0.jpeg', 'TS2DM/TS2DM_1.jpeg', 'TS2DM/TS2DM_2.jpeg',
       'TS2DM/TS2DM_3.jpeg', 'TS2DM/TS2DM_4.jpeg', 'TS2DM/TS2DM_5.jpeg',
       'TS2DM/TS2DM_6.jpeg', 'TS2DM/TS2DM_7.jpeg', 'TS2DM/TS2DM_8.jpeg',
       'TS2DM/TS2DM_9.jpeg', 'TS2DM/TS2DM_10.jpeg', 'TS2DM/TS2DM_11.jpeg',
       'TS2DM/TS2DM_12.jpeg', 'TS2DM/TS2DM_13.jpeg',
       'TS2DM/TS2DM_14.jpeg', 'TS2DM/TS2DM_15.jpeg',
       'TS2DM/TS2DM_16.jpeg', 'TS2DM/TS2DM_17.jpeg',
       'TS2DM/TS2DM_18.jpeg', 'TS2DM/TS2DM_19.jpeg',
       'TS2DM/TS2DM_20.jpeg', 'TS2DM/TS2DM_21.jpeg',
       'TS2DM/TS2DM_22.jpeg', 'TS2DM/TS2DM_23.jpeg',
       'TS2DM/TS2DM_24.jpeg', 'TS2DM/TS2DM_25.jpeg',
       'TS2DM/TS2DM_26.jpeg', 'TS2DM/TS2DM_27.jpeg',
       'TS2DM/TS2DM_28.jpeg', 'TS2DM/TS2DM_29.jpeg',
       'TS2DM/TS2DM_30.jpeg'], dtype=object), 'choice_list': array(['Throughout the entire video.', 'At the beginning of the video.',
       'At the end of the video.', 'In the middle of the video.'],
      dtype=object), 'combined_1_images': array(['1-0.jpg'], dtype=object)}",Throughout the entire video.,ActionLocalization_test
0,Infer the next action of the person from the presented images. You must choose your answer from the Choice List.,"{'context': '{image#1}{image#2}{image#3}{image#4}{image#5}{image#6}{image#7}{image#8}{image#9}{image#10}{image#11}{image#12}{image#13}{image#14}{image#15}{image#16}{image#17}{image#18}{image#19}{image#20}{image#21}{image#22}{image#23}{image#24}{image#25}{image#26}{image#27}{image#28}{image#29}{image#30}{image#31}{image#32}{image#33}{image#34}{image#35}{image#36}What will the person do next?', 'images_path': array(['AJTDO/AJTDO_0.jpeg', 'AJTDO/AJTDO_1.jpeg', 'AJTDO/AJTDO_2.jpeg',
       'AJTDO/AJTDO_3.jpeg', 'AJTDO/AJTDO_4.jpeg', 'AJTDO/AJTDO_5.jpeg',
       'AJTDO/AJTDO_6.jpeg', 'AJTDO/AJTDO_7.jpeg', 'AJTDO/AJTDO_8.jpeg',
       'AJTDO/AJTDO_9.jpeg', 'AJTDO/AJTDO_10.jpeg', 'AJTDO/AJTDO_11.jpeg',
       'AJTDO/AJTDO_12.jpeg', 'AJTDO/AJTDO_13.jpeg',
       'AJTDO/AJTDO_14.jpeg', 'AJTDO/AJTDO_15.jpeg',
       'AJTDO/AJTDO_16.jpeg', 'AJTDO/AJTDO_17.jpeg',
       'AJTDO/AJTDO_18.jpeg', 'AJTDO/AJTDO_19.jpeg',
       'AJTDO/AJTDO_20.jpeg', 'AJTDO/AJTDO_21.jpeg',
       'AJTDO/AJTDO_22.jpeg', 'AJTDO/AJTDO_23.jpeg',
       'AJTDO/AJTDO_24.jpeg', 'AJTDO/AJTDO_25.jpeg',
       'AJTDO/AJTDO_26.jpeg', 'AJTDO/AJTDO_27.jpeg',
       'AJTDO/AJTDO_28.jpeg', 'AJTDO/AJTDO_29.jpeg',
       'AJTDO/AJTDO_30.jpeg', 'AJTDO/AJTDO_31.jpeg',
       'AJTDO/AJTDO_32.jpeg', 'AJTDO/AJTDO_33.jpeg',
       'AJTDO/AJTDO_34.jpeg', 'AJTDO/AJTDO_35.jpeg'], dtype=object), 'choice_list': array(['Put down the pillow.', 'Open the door.', 'Take the book.',
       'Open the closet/cabinet.'], dtype=object), 'combined_1_images': array(['0-0.jpg'], dtype=object)}",Put down the pillow.,ActionPrediction_test
1,Analyze the provided visuals and forecast the individual's subsequent move. You must choose your answer from the Choice List.,"{'context': '{image#1}{image#2}{image#3}{image#4}{image#5}{image#6}{image#7}{image#8}{image#9}{image#10}{image#11}{image#12}{image#13}{image#14}{image#15}{image#16}{image#17}{image#18}{image#19}{image#20}{image#21}{image#22}{image#23}{image#24}{image#25}{image#26}{image#27}{image#28}What will the person do next?', 'images_path': array(['RJCNV/RJCNV_0.jpeg', 'RJCNV/RJCNV_1.jpeg', 'RJCNV/RJCNV_2.jpeg',
       'RJCNV/RJCNV_3.jpeg', 'RJCNV/RJCNV_4.jpeg', 'RJCNV/RJCNV_5.jpeg',
       'RJCNV/RJCNV_6.jpeg', 'RJCNV/RJCNV_7.jpeg', 'RJCNV/RJCNV_8.jpeg',
       'RJCNV/RJCNV_9.jpeg', 'RJCNV/RJCNV_10.jpeg', 'RJCNV/RJCNV_11.jpeg',
       'RJCNV/RJCNV_12.jpeg', 'RJCNV/RJCNV_13.jpeg',
       'RJCNV/RJCNV_14.jpeg', 'RJCNV/RJCNV_15.jpeg',
       'RJCNV/RJCNV_16.jpeg', 'RJCNV/RJCNV_17.jpeg',
       'RJCNV/RJCNV_18.jpeg', 'RJCNV/RJCNV_19.jpeg',
       'RJCNV/RJCNV_20.jpeg', 'RJCNV/RJCNV_21.jpeg',
       'RJCNV/RJCNV_22.jpeg', 'RJCNV/RJCNV_23.jpeg',
       'RJCNV/RJCNV_24.jpeg', 'RJCNV/RJCNV_25.jpeg',
       'RJCNV/RJCNV_26.jpeg', 'RJCNV/RJCNV_27.jpeg'], dtype=object), 'choice_list': array(['Sit on the floor.', 'Put down the cup/glass/bottle.',
       'Take the book.', 'Open the book.'], dtype=object), 'combined_1_images': array(['1-0.jpg'], dtype=object)}",Open the book.,ActionPrediction_test
0,Infer the next action of the person from the presented images. You must choose your answer from the Choice List.,"{'context': '{image#1}{image#2}{image#3}{image#4}{image#5}{image#6}{image#7}{image#8}{image#9}{image#10}{image#11}{image#12}{image#13}{image#14}{image#15}{image#16}{image#17}{image#18}{image#19}{image#20}{image#21}{image#22}{image#23}{image#24}{image#25}{image#26}{image#27}{image#28}{image#29}{image#30}{image#31}{image#32}{image#33}{image#34}{image#35}{image#36}What will the person do next?', 'images_path': array(['AJTDO/AJTDO_0.jpeg', 'AJTDO/AJTDO_1.jpeg', 'AJTDO/AJTDO_2.jpeg',
       'AJTDO/AJTDO_3.jpeg', 'AJTDO/AJTDO_4.jpeg', 'AJTDO/AJTDO_5.jpeg',
       'AJTDO/AJTDO_6.jpeg', 'AJTDO/AJTDO_7.jpeg', 'AJTDO/AJTDO_8.jpeg',
       'AJTDO/AJTDO_9.jpeg', 'AJTDO/AJTDO_10.jpeg', 'AJTDO/AJTDO_11.jpeg',
       'AJTDO/AJTDO_12.jpeg', 'AJTDO/AJTDO_13.jpeg',
       'AJTDO/AJTDO_14.jpeg', 'AJTDO/AJTDO_15.jpeg',
       'AJTDO/AJTDO_16.jpeg', 'AJTDO/AJTDO_17.jpeg',
       'AJTDO/AJTDO_18.jpeg', 'AJTDO/AJTDO_19.jpeg',
       'AJTDO/AJTDO_20.jpeg', 'AJTDO/AJTDO_21.jpeg',
       'AJTDO/AJTDO_22.jpeg', 'AJTDO/AJTDO_23.jpeg',
       'AJTDO/AJTDO_24.jpeg', 'AJTDO/AJTDO_25.jpeg',
       'AJTDO/AJTDO_26.jpeg', 'AJTDO/AJTDO_27.jpeg',
       'AJTDO/AJTDO_28.jpeg', 'AJTDO/AJTDO_29.jpeg',
       'AJTDO/AJTDO_30.jpeg', 'AJTDO/AJTDO_31.jpeg',
       'AJTDO/AJTDO_32.jpeg', 'AJTDO/AJTDO_33.jpeg',
       'AJTDO/AJTDO_34.jpeg', 'AJTDO/AJTDO_35.jpeg'], dtype=object), 'choice_list': array(['Take the book.', 'Put down the pillow.',
       'Open the closet/cabinet.', 'Open the door.'], dtype=object), 'combined_1_images': array(['0-0.jpg'], dtype=object)}",Put down the pillow.,ActionPrediction_adv
1,Analyze the provided visuals and forecast the individual's subsequent move. You must choose your answer from the Choice List.,"{'context': '{image#1}{image#2}{image#3}{image#4}{image#5}{image#6}{image#7}{image#8}{image#9}{image#10}{image#11}{image#12}{image#13}{image#14}{image#15}{image#16}{image#17}{image#18}{image#19}{image#20}{image#21}{image#22}{image#23}{image#24}{image#25}{image#26}{image#27}{image#28}What will the person do next?', 'images_path': array(['RJCNV/RJCNV_0.jpeg', 'RJCNV/RJCNV_1.jpeg', 'RJCNV/RJCNV_2.jpeg',
       'RJCNV/RJCNV_3.jpeg', 'RJCNV/RJCNV_4.jpeg', 'RJCNV/RJCNV_5.jpeg',
       'RJCNV/RJCNV_6.jpeg', 'RJCNV/RJCNV_7.jpeg', 'RJCNV/RJCNV_8.jpeg',
       'RJCNV/RJCNV_9.jpeg', 'RJCNV/RJCNV_10.jpeg', 'RJCNV/RJCNV_11.jpeg',
       'RJCNV/RJCNV_12.jpeg', 'RJCNV/RJCNV_13.jpeg',
       'RJCNV/RJCNV_14.jpeg', 'RJCNV/RJCNV_15.jpeg',
       'RJCNV/RJCNV_16.jpeg', 'RJCNV/RJCNV_17.jpeg',
       'RJCNV/RJCNV_18.jpeg', 'RJCNV/RJCNV_19.jpeg',
       'RJCNV/RJCNV_20.jpeg', 'RJCNV/RJCNV_21.jpeg',
       'RJCNV/RJCNV_22.jpeg', 'RJCNV/RJCNV_23.jpeg',
       'RJCNV/RJCNV_24.jpeg', 'RJCNV/RJCNV_25.jpeg',
       'RJCNV/RJCNV_26.jpeg', 'RJCNV/RJCNV_27.jpeg'], dtype=object), 'choice_list': array(['Sit on the floor.', 'Open the book.', 'Take the book.',
       'Put down the cup/glass/bottle.'], dtype=object), 'combined_1_images': array(['1-0.jpg'], dtype=object)}",Open the book.,ActionPrediction_adv
0,Assess the progression of actions in the presented graphics and answer the connected query. You must choose your answer from the Choice List.,"{'context': '{image#1}{image#2}{image#3}{image#4}{image#5}{image#6}{image#7}{image#8}{image#9}{image#10}{image#11}{image#12}{image#13}{image#14}{image#15}{image#16}{image#17}{image#18}{image#19}{image#20}{image#21}{image#22}{image#23}{image#24}{image#25}{image#26}{image#27}{image#28}{image#29}{image#30}{image#31}{image#32}{image#33}{image#34}{image#35}{image#36}{image#37}{image#38}{image#39}{image#40}{image#41}{image#42}{image#43}{image#44}What happened after the person took the food?', 'images_path': array(['ZS9XR/ZS9XR_0.jpeg', 'ZS9XR/ZS9XR_1.jpeg', 'ZS9XR/ZS9XR_2.jpeg',
       'ZS9XR/ZS9XR_3.jpeg', 'ZS9XR/ZS9XR_4.jpeg', 'ZS9XR/ZS9XR_5.jpeg',
       'ZS9XR/ZS9XR_6.jpeg', 'ZS9XR/ZS9XR_7.jpeg', 'ZS9XR/ZS9XR_8.jpeg',
       'ZS9XR/ZS9XR_9.jpeg', 'ZS9XR/ZS9XR_10.jpeg', 'ZS9XR/ZS9XR_11.jpeg',
       'ZS9XR/ZS9XR_12.jpeg', 'ZS9XR/ZS9XR_13.jpeg',
       'ZS9XR/ZS9XR_14.jpeg', 'ZS9XR/ZS9XR_15.jpeg',
       'ZS9XR/ZS9XR_16.jpeg', 'ZS9XR/ZS9XR_17.jpeg',
       'ZS9XR/ZS9XR_18.jpeg', 'ZS9XR/ZS9XR_19.jpeg',
       'ZS9XR/ZS9XR_20.jpeg', 'ZS9XR/ZS9XR_21.jpeg',
       'ZS9XR/ZS9XR_22.jpeg', 'ZS9XR/ZS9XR_23.jpeg',
       'ZS9XR/ZS9XR_24.jpeg', 'ZS9XR/ZS9XR_25.jpeg',
       'ZS9XR/ZS9XR_26.jpeg', 'ZS9XR/ZS9XR_27.jpeg',
       'ZS9XR/ZS9XR_28.jpeg', 'ZS9XR/ZS9XR_29.jpeg',
       'ZS9XR/ZS9XR_30.jpeg', 'ZS9XR/ZS9XR_31.jpeg',
       'ZS9XR/ZS9XR_32.jpeg', 'ZS9XR/ZS9XR_33.jpeg',
       'ZS9XR/ZS9XR_34.jpeg', 'ZS9XR/ZS9XR_35.jpeg',
       'ZS9XR/ZS9XR_36.jpeg', 'ZS9XR/ZS9XR_37.jpeg',
       'ZS9XR/ZS9XR_38.jpeg', 'ZS9XR/ZS9XR_39.jpeg',
       'ZS9XR/ZS9XR_40.jpeg', 'ZS9XR/ZS9XR_41.jpeg',
       'ZS9XR/ZS9XR_42.jpeg', 'ZS9XR/ZS9XR_43.jpeg'], dtype=object), 'choice_list': array(['Ate the medicine.', 'Tidied up the blanket.',
       'Put down the cup/glass/bottle.', 'Took the box.'], dtype=object), 'combined_1_images': array(['0-0.jpg'], dtype=object)}",Ate the medicine.,ActionSequence_test
1,Evaluate the sequence of actions depicted in the images and provide an answer to the associated question. You must choose your answer from the Choice List.,"{'context': '{image#1}{image#2}{image#3}{image#4}{image#5}{image#6}{image#7}{image#8}{image#9}{image#10}{image#11}{image#12}{image#13}{image#14}{image#15}{image#16}{image#17}{image#18}{image#19}{image#20}{image#21}{image#22}{image#23}{image#24}{image#25}{image#26}{image#27}{image#28}{image#29}{image#30}{image#31}What happened before the person watched at the book?', 'images_path': array(['EY6P4/EY6P4_0.jpeg', 'EY6P4/EY6P4_1.jpeg', 'EY6P4/EY6P4_2.jpeg',
       'EY6P4/EY6P4_3.jpeg', 'EY6P4/EY6P4_4.jpeg', 'EY6P4/EY6P4_5.jpeg',
       'EY6P4/EY6P4_6.jpeg', 'EY6P4/EY6P4_7.jpeg', 'EY6P4/EY6P4_8.jpeg',
       'EY6P4/EY6P4_9.jpeg', 'EY6P4/EY6P4_10.jpeg', 'EY6P4/EY6P4_11.jpeg',
       'EY6P4/EY6P4_12.jpeg', 'EY6P4/EY6P4_13.jpeg',
       'EY6P4/EY6P4_14.jpeg', 'EY6P4/EY6P4_15.jpeg',
       'EY6P4/EY6P4_16.jpeg', 'EY6P4/EY6P4_17.jpeg',
       'EY6P4/EY6P4_18.jpeg', 'EY6P4/EY6P4_19.jpeg',
       'EY6P4/EY6P4_20.jpeg', 'EY6P4/EY6P4_21.jpeg',
       'EY6P4/EY6P4_22.jpeg', 'EY6P4/EY6P4_23.jpeg',
       'EY6P4/EY6P4_24.jpeg', 'EY6P4/EY6P4_25.jpeg',
       'EY6P4/EY6P4_26.jpeg', 'EY6P4/EY6P4_27.jpeg',
       'EY6P4/EY6P4_28.jpeg', 'EY6P4/EY6P4_29.jpeg',
       'EY6P4/EY6P4_30.jpeg'], dtype=object), 'choice_list': array(['Tidied up the table.', 'Took the phone/camera.',
       'Opened the closet/cabinet.', 'Washed the table.'], dtype=object), 'combined_1_images': array(['1-0.jpg'], dtype=object)}",Opened the closet/cabinet.,ActionSequence_test
0,You are a smart agent aiming to reach a final goal. Consider your successful decisions from past rounds and the current situation presented in the image. What would be your next move?,"{'context': ""Your Main Goal:  Put a warm slice of bread on the counter.   Step Details: {image#1}Step#1: Turn around and walk to the counter top above the dishwasher, just past the refrigerator.  {image#2}Step#2: Pick up the loaf of bread to the right of the toaster.  {image#3}Step#3: Move over to your right so that you are directly in front of the knife's on the counter.  {image#4}Step#4: Place the bread on the counter to the left of the knife's.  {image#5} Current Step: "", 'images_path': array(['0.jpg', '1.jpg', '2.jpg', '3.jpg', '4.jpg'], dtype=object), 'choice_list': None, 'combined_1_images': array(['0.jpg'], dtype=object)}","Pick up the knife closest to the fork on the right, located on the counter. ",ALFRED_test
1,"Given your past actions and the main goal, analyze your current environment. Decide your next step based on this analysis.","{'context': 'Your Main Goal:  put a chilled, cut slice of lettuce in the sink  Step Details: {image#1}Step#1: go to the counter to the left of the sink {image#2}Step#2: pick up the knife {image#3}Step#3: take the knife to the table {image#4} Current Step: ', 'images_path': array(['5.jpg', '6.jpg', '7.jpg', '8.jpg'], dtype=object), 'choice_list': None, 'combined_1_images': array(['1.jpg'], dtype=object)}",cut the head of lettuce on the table,ALFRED_test
